dgp,Treatment Model,Treated Probability,overlap,Response Model, Trt/Rsp Alignment,heterogeneity,DIY
1,linear,low,penalize,linear,high,high,10
2,polynomial,low,penalize,exponential,high,none,1
3,linear,low,penalize,linear,high,none,9
4,polynomial,low,full,exponential,high,high,4
5,linear,low,penalize,exponential,high,high,15
6,polynomial,low,penalize,linear,high,high,2
7,polynomial,low,penalize,exponential,high,high,5
8,polynomial,low,penalize,exponential,none,high,13
9,step,low,penalize,step,high,high,8
10,linear,low,penalize,exponential,low,high,14
11,polynomial,low,penalize,linear,low,high,19
12,polynomial,low,penalize,exponential,low,high,12
13,linear,high,penalize,exponential,high,high,18
14,polynomial,high,penalize,linear,high,high,20
15,polynomial,high,penalize,exponential,high,high,6
16,polynomial,high,penalize,exponential,none,high,17
17,step,high,penalize,step,high,high,7
18,linear,high,penalize,exponential,low,high,3
19,polynomial,high,penalize,linear,low,high,16
20,polynomial,high,penalize,exponential,low,high,11
21,polynomial,low,penalize,step,low,low
22,polynomial,low,penalize,step,low,high
23,polynomial,low,penalize,step,high,low
24,polynomial,low,penalize,step,high,high
25,polynomial,low,penalize,exponential,low,low
26,polynomial,low,penalize,exponential,high,low
27,polynomial,low,full,step,low,low
28,polynomial,low,full,step,low,high
29,polynomial,low,full,step,high,low
30,polynomial,low,full,step,high,high
31,polynomial,low,full,exponential,low,low
32,polynomial,low,full,exponential,low,high
33,polynomial,low,full,exponential,high,low
34,polynomial,high,penalize,step,low,low
35,polynomial,high,penalize,step,low,high
36,polynomial,high,penalize,step,high,low
37,polynomial,high,penalize,step,high,high
38,polynomial,high,penalize,exponential,low,low
39,polynomial,high,penalize,exponential,high,low
40,polynomial,high,full,step,low,low
41,polynomial,high,full,step,low,high
42,polynomial,high,full,step,high,low
43,polynomial,high,full,step,high,high
44,polynomial,high,full,exponential,low,low
45,polynomial,high,full,exponential,low,high
46,polynomial,high,full,exponential,high,low
47,polynomial,high,full,exponential,high,high
48,step,low,penalize,step,low,low
49,step,low,penalize,step,low,high
50,step,low,penalize,step,high,low
51,step,low,penalize,exponential,low,low
52,step,low,penalize,exponential,low,high
53,step,low,penalize,exponential,high,low
54,step,low,penalize,exponential,high,high
55,step,low,full,step,low,low
56,step,low,full,step,low,high
57,step,low,full,step,high,low
58,step,low,full,step,high,high
59,step,low,full,exponential,low,low
60,step,low,full,exponential,low,high
61,step,low,full,exponential,high,low
62,step,low,full,exponential,high,high
63,step,high,penalize,step,low,low
64,step,high,penalize,step,low,high
65,step,high,penalize,step,high,low
66,step,high,penalize,exponential,low,low
67,step,high,penalize,exponential,low,high
68,step,high,penalize,exponential,high,low
69,step,high,penalize,exponential,high,high
70,step,high,full,step,low,low
71,step,high,full,step,low,high
72,step,high,full,step,high,low
73,step,high,full,step,high,high
74,step,high,full,exponential,low,low
75,step,high,full,exponential,low,high
76,step,high,full,exponential,high,low
77,step,high,full,exponential,high,high